"url","status","id","listPrice","baths","baths_full","baths_full_calc","beds","sqft","stories","sub_type","text","type","year_built"
"https://www.realtor.com/realestateandhomes-detail/10410-Daw-Collins-Rd_Cleveland_TX_77328_M97739-41616","for_sale","9773941616","240000","2","2","2","3","1190","1",,"Welcome home to your peaceful retreat nestled on 2 acres of beautiful land! This charming home offers the perfect blend of comfort and serenity. Step inside to discover a cozy living space where relaxation meets functionality. The open layout seamlessly connects the living room, dining area, and kitchen, creating an inviting atmosphere for everyday living and entertaining. Outside, you'll find a spacious yard with plenty of room to roam and explore. Plus, the property includes a handy storage shed with electricity, and insulation perfect for storing tools, equipment, or creating your own workshop.Located in a peaceful setting, yet just a short drive from amenities and attractions, this property offers the best of both worlds rural tranquility and suburban convenience. Don't miss your chance to make this delightful home yours! Schedule a showing today and start living the good life. ??","single_family","2018"
"https://www.realtor.com/realestateandhomes-detail/6800-Woodland-Dr_Athens_TX_75752_M92249-23922","for_sale","9224923922","379900","4","3","3","4","2033","1",,"Beautiful country home on 0.85 fenced acres, minutes from Athens' amenities. Sit in the swing on this large front porch, of this recently updated home, and enjoy the peace & quietness of the neighborhood. This beautiful 4 bed, 3.5 bath home has an open dining/kitchen area with granite counters & bar seating. The WBFP is the center of attention in the spacious living room. New Aerobic system 2022, 2 updated bathrooms as well new carpet. The 4th bedroom has its own ensuite & a sitting area. This could be utilized as an office. The 2-car garage & 4 car carport have all your vehicles covered, what more could you want! A workshop with plenty of storage and a 1st class chicken coup in the spacious fenced back yard is perfect. Buyer to obtain own survey. Call the Listing Agent for your personal tour.","single_family","2002"
"https://www.realtor.com/realestateandhomes-detail/110-County-Road-3456_Hawkins_TX_75765_M98406-61824","for_sale","9840661824","370000","2","2","2","4","2062","1",,"PRICED TO SELL CORNER LOT HAS A STORM SHELTER IN GARAGE","single_family","2012"
"https://www.realtor.com/realestateandhomes-detail/1204-Vera-Ln_Kennedale_TX_76060_M73383-17229","for_sale","7338317229","444000","4","3","3","5","3705","2",,"Come check out country living in the city! Are you looking for a large family home? This is the one for you! This 5 BR, 3.5 bath, 2 large living areas, office, flex room currently being used as a 6th bedroom boasts 3705sqf on just under half an acre on a secluded cul-de-sac in Kennedale ISD. This street is one of the most coveted streets with the best neighbors in Kennedale. Features include: 2 huge living areas downstairs plus an office & oversized primary BR suite. Updates include: fresh paint on outside of home & in garage, replaced water heaters, laminate flooring in primary BR, updated shower, updated second full bath. Kitchen has that farmhouse charm, granite counter tops, & windows that overlook backyard acreage plus greenbelt behind it for all the country feel. Space for chickens & goats in fenced pens, a shed, garden, and a dog run. If you are looking for a large home with plenty of space for your family and friends to host all year long, this is the one for you. Welcome Home!","single_family","1985"
"https://www.realtor.com/realestateandhomes-detail/598-Stagecoach-Trl_Denison_TX_75021_M72858-45528","for_sale","7285845528","569000","2","2","2","3","3282","2",,"Welcome to your dream retreat! Nestled on over 7 acres of secluded land adorned with towering mature oaks, this massively well-renovated home offers a truly unique living experience. With over 3200 square feet of living space, including three bedrooms and two baths, this property is your own private oasis. Imagine starting your mornings on the balcony sipping coffee while watching the wildlife, and ending your days by curling up to watch the sunset over the picturesque landscape. This property is larger than life and awaits you to turn your home dreams into reality.","single_family","1981"
"https://www.realtor.com/realestateandhomes-detail/5601-Joshua-Ct_Mansfield_TX_76063_M75504-52644","for_sale","7550452644","875000","5","3","3","4","4873","2",,"Exquisite custom home nestled among mature trees on 2.5 acre serene setting. Corner lot for added privacy tucked away on secluded cul de sac with only 10 homes yet close to all conveniences. Quality craftsmanship with extensive wood moulding & nail down hardwood flooring. Family room has cozy fireplace flanked by built-ins with wall of windows allowing natural light & tranquil views. Kitchen offers quartzite counters, stainless appliances, built-in refrigerator, double ovens, 2 sinks & walk-in pantry. Primary bedroom down with patio access. Primary bath includes jetted tub, steam shower & walk-in closet with cedar closet. Separate 600 bottle cooled wine room! Upstairs has secondary bedrooms with Jack-n-Jill bath, HUGE game room & 4th living space! Tranquil backyard with flagstone covered patio surrounded by lush landscape leads to additional seating area with firepit overlooking expansive backyard & naturally wooded area. Oversized 3 car garage includes workshop! No HOA or city tax.","single_family","1999"
"https://www.realtor.com/realestateandhomes-detail/151-Private-Road-3500_Big-Sandy_TX_75755_M98524-04810","for_sale","9852404810","214500","2","2","2","4","2260",,,"Welcome to your spacious home in the heart of Big Sandy ISD! This modern 4-bedroom, 2-bathroom modular home, built in 2020, offers large rooms complemented by ample storage space throughout. Situated on a generous lot, the fenced front yard offers security, while inside, the well-appointed kitchen features an abundance of cabinets, ideal for culinary enthusiasts. Whether you're seeking comfort, convenience, or room to grow, this property delivers on every front.","single_family","2020"
"https://www.realtor.com/realestateandhomes-detail/410-S-Grand-Ave_Gainesville_TX_76240_M73704-99961","for_sale","7370499961","184900","3","3","3","5","2109","1",,"Potential, Potential, Potential! This One Is A Great Investor Opportunity In The Historic Part Of Gainesville Where Value Keep Arising! This Property Was Once A Duplex With Separated Driveways, Mailboxes, & Meters. Rehab It As A House Or Turn It Back Into A Cash Flow Cow. Selling As Is. Cash, Hard Money, Or Conventional Financing Accepted","single_family","1956"
"https://www.realtor.com/realestateandhomes-detail/207-FM-3267_Hillsboro_TX_76645_M80212-15105","for_sale","8021215105","374900","2","2","2","4","1896","1",,"Welcome to country living! Spacious lot sitting over an acre giving plenty of room for animals and families! Remodeled interior with fresh paint and features such as granite countertops, gas cooktop, and big pantry! Enjoy your backyard patio while watching Texas sunsets or hosting next to the fire pit while kids enjoy playing basketball outside. The large 30x30 shop doubles as garage space, a workshop, mancave, use your imagination! Additional 16x20 detached guest room equipped with electricty and can double as an art studio, movie room, you name it! Paid off solar panels included!","single_family","2000"
"https://www.realtor.com/realestateandhomes-detail/116-Butte-Dr_Gun-Barrel-City_TX_75156_M96372-98240","for_sale","9637298240","199900","2","2","2","3","1621","1",,"Your family is all that's needed to fill this great little starter home near Cedar Creek Lake! This 3-2-2 is adorable and ready for your growing family. Large rooms in this cutie! Includes an oversized 2 car detached garage, circular driveway, storage building on almost one-half of an acre! Close to city amenities and lake living. You can enjoy a little of everything from this homesite! No existing survey available.","single_family","2004"
